
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
    9456.250 TX    7D
    9476.507 RX    7D 7D 21 40
    9486.650 RX    0A FF 91 00
    9506.903 RX    58 FF FF 01 00
    9517.033 RX    89 64 00 00 29
    9537.323 RX    FF 00 30 80 7C
    9557.691 RX    95 00 26 00 26 00 26 00 26
    9567.900 RX    00 00 00
    9567.957 TX    80
    9588.293 RX    80 80 1C 00 00
    9598.487 RX    86 72 72 FF 65
    9618.833 RX    78 25 00 80 01
    9629.015 RX    00 00 00 1D 81
    9649.434 RX    4F 03 6B 00 30
    9669.774 RX    0C B2 00 00 00
    9669.867 TX    7D
    9680.042 RX    7D 7D
    9700.387 RX    21 40 0A FF 91
    9710.566 RX    00 58 FF FF 01
    9730.886 RX    00 89 64 00 00
    9741.083 RX    29 FF 00 30
    9761.535 RX    80 7C 95 00 26 00 26 00
    9781.902 RX    26 00 26 00 00 00
    9781.963 TX    80
    9792.151 RX    80 80
    9812.491 RX    1C 00 00 86 72 72
    9822.682 RX    FF 65 78 25
    9843.153 RX    00 80 01 00 00
    9853.440 RX    00 1D 81 4F 03 6B
    9873.880 RX    00 30 0C B2 00 00
    9894.483 RX    00
    9894.527 TX    7D
    9904.693 RX    7D 7D
    9925.059 RX    21 40 0A FF
    9935.343 RX    91 00 58 FF FF
    9955.758 RX    01 00 89 64 00
    9965.971 RX    00 29 FF 00 30
    9986.381 RX    80 7C 95 00 26 00 26
   10006.749 RX    00 26 00 26 00 00 00
   10006.822 TX    80
   10017.005 RX    80 80
   10037.317 RX    1C 00 00 86 72 72
   10047.511 RX    FF 65 78 25 00
   10067.848 RX    80 01 00 00 00
   10078.050 RX    1D 81 4F 03 6B 00
   10098.549 RX    30 0C B2 00 00
   10108.958 RX    00
   10109.012 TX    7D
   10129.532 RX    7D 7D 21 40 0A
   10149.907 RX    FF 91 00 58 FF
   10160.126 RX    FF 01 00 89 64
   10180.472 RX    00 00 29 FF 00
   10190.661 RX    30 80 7C 95 00
   10211.050 RX    26 00 26 00 26 00 26 00 00
   10221.235 RX    00
   10221.290 TX    80
   10241.612 RX    80 80 1C 00 00 86
   10261.974 RX    72 72 FF 65 78
   10272.175 RX    25 00 80 01
   10292.550 RX    00 00 00 1D 81
   10302.878 RX    4F 03 6B 00 30 0C B2
   10323.314 RX    00 00 00
   10323.381 TX    7D
   10333.696 RX    7D 7D 21
   10354.122 RX    40 0A FF 91 00
   10374.469 RX    58 FF FF 01
   10384.646 RX    00 89 64 00 00
   10404.988 RX    29 FF 00 30 80
   10415.169 RX    7C 95 00 26 00 26 00 26
   10435.516 RX    00 26 00 00 00
   10435.561 TX    80
   10445.717 RX    80 80
   10466.082 RX    1C 00 00 86 72 72
   10486.436 RX    FF 65 78 25 00
   10496.634 RX    80 01 00 00 00
   10516.974 RX    1D 81 4F 03 6B 00
   10527.156 RX    30 0C B2 00 00 00
   10527.195 TX    7D
   10547.581 RX    7D 7D 21 40
   10557.762 RX    0A FF 91 00 58
   10578.113 RX    FF FF 01 00 89
   10598.451 RX    64 00 00 29 FF
   10608.625 RX    00 30 80 7C 95
